model,months,gamma,dPnL,t,yrs_up,n,n_base,side_switch
mkt_xs5z,12,3.0,-6374,-0.88,1,3526,3318,1446
mkt_xs20z,12,1.0,-8396,-1.89,0,3422,3318,657
mkt_xs20z,12,3.0,-9621,-1.44,1,3558,3318,1208
mkt_rsi2c,12,1.0,-302,-0.06,3,3436,3318,864
mkt_rsi2c,12,3.0,-2108,-0.3,3,3585,3318,1503
mkt_rsi14c,12,1.0,710,0.11,2,3520,3318,1180
mkt_rsi14c,12,3.0,-1737,-0.21,1,3671,3318,1880
mkt_clv,12,1.0,-2550,-0.68,2,3402,3318,766
mkt_clv,12,3.0,-4676,-0.85,2,3511,3318,1366
mkt_clv3,12,1.0,-1324,-0.31,2,3398,3318,790
mkt_clv3,12,3.0,-387,-0.06,2,3528,3318,1430
mkt_dsma10,12,1.0,-390,-0.07,2,3490,3318,1027
mkt_dsma10,12,3.0,-2887,-0.38,2,3657,3318,1716
mkt_dsma20,12,1.0,-1882,-0.28,2,3551,3318,1245
mkt_dsma20,12,3.0,-3161,-0.36,1,3697,3318,1902
mkt_dsma50,12,1.0,-7187,-1.23,1,3448,3318,1006
mkt_dsma50,12,3.0,-10726,-1.45,1,3564,3318,1573
mkt_macd_h,12,1.0,2385,0.35,3,3595,3318,1144
mkt_macd_h,12,3.0,4311,0.5,2,3673,3318,1712
mkt_macd_slope,12,1.0,-4627,-1.11,1,3427,3318,651
mkt_macd_slope,12,3.0,-7494,-1.24,1,3492,3318,1197
mkt_di,12,1.0,-4074,-0.63,1,3477,3318,1128
mkt_di,12,3.0,-2927,-0.36,1,3649,3318,1855
mkt_pctb,12,1.0,-1120,-0.17,2,3550,3318,1210
mkt_pctb,12,3.0,-3884,-0.46,2,3718,3318,1909
mkt_stoch14,12,1.0,-46,-0.01,2,3549,3318,1135
mkt_stoch14,12,3.0,-600,-0.07,2,3664,3318,1780
mkt_upcount10,12,1.0,215,0.03,2,3558,3318,1165
mkt_upcount10,12,3.0,1006,0.12,2,3716,3318,1784
mkt_gap,12,1.0,3315,0.84,4,3376,3318,636
mkt_gap,12,3.0,-2273,-0.41,1,3442,3318,1125
mkt_on1z,12,1.0,-1166,-0.37,2,3347,3318,517
mkt_on1z,12,3.0,-3142,-0.62,1,3485,3318,1119
mkt_in1z,12,1.0,-4281,-1.26,1,3375,3318,645
mkt_in1z,12,3.0,-2112,-0.4,1,3485,3318,1206
mkt_on5z,12,1.0,-73,-0.01,3,3499,3318,928
mkt_on5z,12,3.0,1164,0.16,3,3637,3318,1543
mkt_in5z,12,1.0,-3974,-0.8,1,3456,3318,836
mkt_in5z,12,3.0,-64,-0.01,1,3583,3318,1468
mkt_body,12,1.0,-2377,-0.62,1,3400,3318,725
mkt_body,12,3.0,-3373,-0.65,1,3516,3318,1301
mkt_wick,12,1.0,783,0.22,2,3357,3318,625
mkt_wick,12,3.0,274,0.05,2,3443,3318,1216
mkt_engulf,12,1.0,1920,0.62,1,3391,3318,644
mkt_engulf,12,3.0,-887,-0.21,1,3488,3318,1162
mkt_hammer,12,1.0,1205,0.34,1,3367,3318,607
mkt_hammer,12,3.0,2227,0.43,1,3482,3318,1223
mkt_pos55,12,1.0,-6452,-1.12,2,3454,3318,970
mkt_pos55,12,3.0,-9299,-1.31,0,3545,3318,1521
mkt_pos250,12,1.0,-9107,-1.7,0,3500,3318,952
mkt_pos250,12,3.0,-23016,-2.78,0,3629,3318,1678
mkt_streak,12,1.0,-552,-0.13,2,3417,3318,779
mkt_streak,12,3.0,-973,-0.15,2,3570,3318,1409
mkt_hhll5,12,1.0,-353,-0.07,1,3478,3318,890
mkt_hhll5,12,3.0,-510,-0.07,2,3595,3318,1531
mkt_skew60,12,1.0,-8230,-1.35,1,3391,3318,1022
mkt_skew60,12,3.0,-10901,-1.31,1,3555,3318,1744
mkt_dsma200,12,1.0,-8421,-1.51,0,3487,3318,994
mkt_dsma200,12,3.0,-16397,-2.1,0,3637,3318,1634
mkt_trend50_200,12,1.0,-7216,-0.98,2,3459,3318,1231
