rule,feat,side,tail,q,thr,n_veto,t,dPnL,yrs_up,plateau,p_fwer
xs5z_s lo 25%,xs5z_s,all,lo,0.25,-0.48413233139564466,2023,0.8967014524474765,3359.9450000000215,2,3,1.0
xs5z_s lo 30%,xs5z_s,all,lo,0.3,-0.35401436961093935,2428,-0.20614138457497774,-862.5849999999882,1,3,1.0
xs5z_s hi 5%,xs5z_s,all,hi,0.05,1.5139719615124536,405,0.3721450429232657,639.185000000005,4,1,1.0
xs5z_s hi 10%,xs5z_s,all,hi,0.1,1.1289965067440433,810,-0.22897062000056687,-556.5399999999936,2,1,1.0
xs5z_s hi 15%,xs5z_s,all,hi,0.15,0.8422361393933065,1214,-0.8957417562867901,-2593.434999999994,3,1,1.0
xs5z_s hi 20%,xs5z_s,all,hi,0.2,0.6590055201719689,1619,-0.7822462680097427,-2724.894999999986,3,1,1.0
xs5z_s hi 25%,xs5z_s,all,hi,0.25,0.5131129603024094,2023,-0.5643075788788696,-2191.469999999994,1,1,1.0
xs5z_s hi 30%,xs5z_s,all,hi,0.3,0.3774202530371115,2428,-0.583300502079716,-2491.3749999999927,1,1,1.0
xs20z_s lo 5%,xs20z_s,all,lo,0.05,-1.3177929815200495,405,0.3002238436996472,559.4750000000058,2,1,1.0
xs20z_s lo 10%,xs20z_s,all,lo,0.1,-0.9832706371945912,810,-0.3769486416152219,-900.16499999999,2,1,1.0
xs20z_s lo 15%,xs20z_s,all,lo,0.15,-0.7645905445847723,1214,-0.40439664890642113,-1178.0749999999898,2,1,1.0
xs20z_s lo 20%,xs20z_s,all,lo,0.2,-0.5876820856960073,1619,-0.6086409345854469,-2082.629999999983,3,1,1.0
xs20z_s lo 25%,xs20z_s,all,lo,0.25,-0.4398147437784111,2023,-0.6490671033764563,-2597.934999999983,3,1,1.0
xs20z_s lo 30%,xs20z_s,all,lo,0.3,-0.3102263246071578,2428,-1.6473816428728627,-6836.809999999983,1,1,1.0
xs20z_s hi 5%,xs20z_s,all,hi,0.05,1.6732667454439076,405,-0.7980464943786327,-1310.25499999999,2,0,1.0
xs20z_s hi 10%,xs20z_s,all,hi,0.1,1.295604151910733,810,-1.311197991542915,-3248.44999999999,1,0,1.0
xs20z_s hi 15%,xs20z_s,all,hi,0.15,1.0312836651530128,1214,-1.1847306820575956,-3722.654999999977,2,0,1.0
xs20z_s hi 20%,xs20z_s,all,hi,0.2,0.8414370251115326,1619,-0.7671859314460238,-2831.8299999999654,2,0,1.0
xs20z_s hi 25%,xs20z_s,all,hi,0.25,0.6748370909834837,2023,-0.9514083924099295,-3841.6749999999593,0,0,1.0
