ground,bull_cut,bear_cut,is_n,is_pnl,is_full_win,is_profitable,is_yield_pct,is_weekly_sharpe,is_max_dd,is_calmar,oot_n,oot_pnl,oot_full_win,oot_profitable,oot_yield_pct,oot_weekly_sharpe,oot_max_dd,oot_calmar
0.005,0.25,0.05,5100.0,38717.66499999999,44.80392156862745,53.86274509803921,10.235475606758813,2.625554721039605,-16.642938205611614,2.839673733434248,517.0,1385.6400000000006,40.81237911025145,48.93617021276596,3.3289984246815445,1.1934095163418676,-11.297468237716291,4.212911801054644
0.005,0.25,0.1,5064.0,38296.389999999985,44.84597156398104,53.85071090047393,10.167182286090059,2.5926057931550965,-16.668307244909798,2.8199125390680195,510.0,1256.1500000000012,40.78431372549019,49.01960784313725,3.0526383577989153,1.1030349331974298,-11.122307269428166,3.8316193712646354
0.005,0.25,0.15000000000000002,5003.0,38477.359999999986,44.95302818309014,53.96761942834299,10.296711757120079,2.5975610834567853,-18.671680691786285,2.5245582108013362,504.0,1017.390000000001,40.67460317460318,48.80952380952381,2.513766676969903,0.8993753174209883,-11.451611308881482,2.9456339877396176
0.005,0.25,0.2,4925.0,37639.904999999984,45.05583756345178,54.03045685279187,10.208110928708013,2.5446570341463954,-18.330412506140405,2.5403766670942454,489.0,1135.4099999999999,40.695296523517385,49.079754601226995,2.895035366597134,1.0536105172730468,-10.102260251369133,3.769071346737433
0.005,0.25,0.25,4881.0,37336.06999999998,45.09321860274534,54.06678959229666,10.191772626717821,2.518610333916841,-18.91898258755206,2.4492161592057196,472.0,1430.4249999999968,41.313559322033896,49.78813559322034,3.7696510445682736,1.345217712357304,-9.582314186162987,5.149463645783376
0.005,0.25,0.30000000000000004,4787.0,36469.70999999999,45.122205974514316,54.083977438897016,10.156491134164915,2.4827106157571035,-18.865862278261424,2.4239288894691366,466.0,1459.144999999997,41.201716738197426,49.78540772532189,3.9093071917138347,1.3745473077261776,-9.538020705708128,5.291698468173345
0.005,0.25,0.35000000000000003,4706.0,36532.14499999998,45.24011899702508,54.186145346366345,10.342595561047624,2.50121303223669,-19.902385135189093,2.302788902935703,447.0,1447.0599999999968,41.387024608501115,50.11185682326622,4.0620459511474225,1.4601470380681356,-8.133651641718853,6.146902029438155
0.005,0.25,0.4,4588.0,35136.414999999986,45.09590235396687,53.988666085440286,10.1927248139239,2.4346886727116432,-21.170645854010406,2.118489500279628,436.0,1410.2449999999972,41.51376146788991,50.0,4.068717059215219,1.4543071274670332,-8.385405934970047,5.7903208869506395
0.005,0.25,0.45,4460.0,35229.86999999998,45.224215246636774,54.12556053811659,10.44284464493515,2.45146024687554,-21.768768983131693,2.0782263296333334,415.0,1084.979999999997,41.445783132530124,49.63855421686747,3.2644408285875124,1.1417579768296438,-11.61536839886158,3.117306779010893
0.005,0.25,0.5,4240.0,35911.53499999999,45.589622641509436,54.45754716981131,11.005625040683212,2.4948715526308107,-21.659238596304952,2.1210831945436324,409.0,1112.7249999999972,41.80929095354523,49.63325183374083,3.3816659291820157,1.1752992309680543,-11.628821156550329,3.201871719594567
0.005,0.30000000000000004,0.0,4950.0,36709.204999999994,44.86868686868687,53.73737373737374,9.982944866626491,2.5133490879986673,-17.014932434934927,2.717453919031425,506.0,-28.139999999999645,39.130434782608695,47.233201581027664,-0.06940689905563119,-0.02423272333191381,-13.101083005957115,-0.06425626408977968
0.005,0.30000000000000004,0.05,4923.0,37018.90999999999,44.911639244363194,53.82896607759496,10.088676133223062,2.537995287272606,-16.951172067326393,2.741744666537892,503.0,-217.52999999999963,38.767395626242546,46.91848906560636,-0.539284093114948,-0.18836924984749487,-13.622921628934204,-0.4686932515629532
0.005,0.30000000000000004,0.1,4887.0,36597.63499999999,44.95600572948639,53.81624718641294,10.017620106914618,2.50506473728268,-18.31142058497638,2.523311437916221,496.0,-347.0199999999986,38.70967741935484,46.975806451612904,-0.8705287316876487,-0.3061118333755668,-13.473707673301949,-0.7461576662759659
