name,rule,is_n,is_pnl,is_fw,is_prof,oot_n,oot_pnl,oot_fw,oot_prof,d_is_n,d_is_pnl,d_is_fw,d_is_prof,d_oot_n,d_oot_pnl,d_oot_fw,d_oot_prof
w80gex_parity_balance_wf,veto0.125,4459,33008.87999999996,0.44583987441130296,0.5355460865664947,586,4614.419999999991,0.4249146757679181,0.5273037542662116,-104,365.7899999999936,0.004901895011785118,0.0036591700641935843,-7,23.084999999999127,-4.316571606166608e-05,0.0011654743336652063
w80gex_parity_balance_wf,veto0.15,4423,32698.32499999996,0.4458512321953425,0.5367397693872937,584,4430.36999999999,0.4229452054794521,0.5256849315068494,-140,55.234999999993306,0.004913252795824663,0.004852852884992598,-9,-160.96500000000196,-0.002012636004527668,-0.00045334842569699774
w80gex_parity_balance_wf,veto0.175,4365,33081.779999999984,0.44673539518900346,0.5392898052691867,582,4029.469999999989,0.41580756013745707,0.520618556701031,-198,438.6900000000169,0.005797415789485616,0.007402888766885551,-11,-561.865000000003,-0.009150281346522682,-0.005519723231515394
w80gex_parity_balance_wf,veto0.2,4313,34567.09499999999,0.44933920704845814,0.5411546487363784,575,3968.1049999999905,0.41739130434782606,0.5217391304347826,-250,1924.0050000000192,0.008401227648940301,0.009267732234077286,-18,-623.2300000000014,-0.007566537136153684,-0.004399149497763766
w80gex_parity_balance_wf,veto0.225,4254,34161.14499999999,0.44804889515749885,0.5401974612129761,571,4164.174999999994,0.4220665499124343,0.5236427320490368,-309,1518.0550000000221,0.007110915757981007,0.008310544710674939,-22,-427.15999999999804,-0.00289129157154544,-0.0024955478835095857
w80gex_parity_balance_wf,veto0.25,4190,34350.994999999995,0.4486873508353222,0.5400954653937947,566,3768.4499999999953,0.4204946996466431,0.5141342756183745,-373,1707.905000000028,0.007749371435804342,0.008208548891493583,-27,-822.8849999999966,-0.004463141837336648,-0.012004004314171812
w80gex_parity_balance_wf,tilt0.05,4563,32008.19999999997,0.44049967126890205,0.5321060705676091,593,4452.0749999999925,0.42327150084317033,0.524451939291737,0,-634.8899999999958,-0.0004383081306157943,0.00021915406530792492,0,-139.2599999999993,-0.001686340640809414,-0.001686340640809414
w80gex_parity_balance_wf,tilt0.1,4563,32244.33499999997,0.44049967126890205,0.532325224632917,593,4300.914999999993,0.42158516020236086,0.5227655986509275,0,-398.7549999999974,-0.0004383081306157943,0.00043830813061584983,0,-290.41999999999916,-0.0033726812816188834,-0.003372681281618828
w80gex_parity_balance_wf,tilt0.2,4563,33099.119999999966,0.4413762875301337,0.5332018408941486,593,4156.309999999994,0.418212478920742,0.521079258010118,0,456.02999999999884,0.00043830813061584983,0.0013149243918474385,0,-435.0249999999978,-0.006745362563237767,-0.005059021922428353
w80gex_parity_balance_wf,tilt0.5,4563,33589.649999999965,0.44049967126890205,0.5336401490247644,593,4192.669999999993,0.4148397976391231,0.5160202360876898,0,946.5599999999977,-0.0004383081306157943,0.0017532325224632883,0,-398.66499999999905,-0.01011804384485665,-0.010118043844856595
w80gex_parity_balance_wf,tilt1.0,4563,36496.48999999997,0.4440061363138286,0.5380232303309226,593,3465.139999999989,0.40640809443507586,0.5126475548060708,0,3853.4000000000015,0.0030681569143107823,0.006136313828621454,0,-1126.195000000003,-0.018549747048903886,-0.013490725126475533
w20gex_parity_balance_wf,veto0.03,4549,33538.96499999997,0.4449329522972082,0.5361617938008354,590,4797.514999999991,0.43050847457627117,0.5322033898305085,-14,895.875,0.003994972897690352,0.004274877298534263,-3,206.17999999999938,0.005550633092291424,0.006065109897962162
w20gex_parity_balance_wf,veto0.05,4527,34153.954999999965,0.446432516015021,0.5370002208968412,590,4325.784999999992,0.423728813559322,0.5271186440677966,-36,1510.864999999998,0.005494536615503143,0.0051133043945400525,-3,-265.5500000000002,-0.001229027924657733,0.0009803641352502668
w20gex_parity_balance_wf,veto0.075,4491,35102.38999999996,0.4480071253618348,0.5379648185259408,588,3845.859999999991,0.4200680272108844,0.5204081632653061,-72,2459.2999999999956,0.007069145962316947,0.00607790202363967,-5,-745.4750000000008,-0.004889814273095372,-0.005730116667240215
w20gex_parity_balance_wf,veto0.1,4442,34032.71499999997,0.44867176947321025,0.5366951823502927,587,3389.8049999999917,0.41737649063032367,0.514480408858603,-121,1389.625,0.007733790073692404,0.004808265847991544,-6,-1201.5300000000002,-0.007581350853656077,-0.011657871073943338
w20gex_parity_balance_wf,veto0.125,4406,34276.20999999998,0.44916023604176125,0.5367680435769405,586,3282.9599999999928,0.41638225255972694,0.5102389078498294,-157,1633.12000000001,0.008222256642243408,0.004881127074639391,-7,-1308.374999999999,-0.008575588924252808,-0.015899372082716967
w20gex_parity_balance_wf,veto0.15,4357,34710.24499999998,0.4503098462244664,0.5386733991278403,583,3328.8699999999926,0.4202401372212693,0.5145797598627787,-206,2067.1550000000134,0.00937186682494856,0.006786482625539159,-10,-1262.4649999999992,-0.004717704262710454,-0.011558520069767653
w20gex_parity_balance_wf,veto0.175,4293,35282.88999999998,0.4537619380386676,0.5406475658047986,582,3301.809999999992,0.4209621993127148,0.5137457044673539,-270,2639.80000000001,0.012823958639149757,0.008760649302497425,-11,-1289.5249999999996,-0.003995642171264968,-0.012392575465192457
w20gex_parity_balance_wf,veto0.2,4224,35986.02499999999,0.4564393939393939,0.5445075757575758,578,3576.1899999999932,0.4204152249134948,0.5155709342560554,-339,3342.9350000000195,0.01550141453987608,0.012620659255274669,-15,-1015.1449999999986,-0.004542616570484936,-0.01056734567649098
w20gex_parity_balance_wf,veto0.225,4169,37012.07499999999,0.4600623650755577,0.5480930678819861,574,3621.969999999994,0.42334494773519166,0.5174216027874564,-394,4368.985000000022,0.019124385676039857,0.016206151379684952,-19,-969.364999999998,-0.0016128937487880912,-0.008716677145089946
w20gex_parity_balance_wf,veto0.25,4104,35501.81499999999,0.4580896686159844,0.5460526315789473,574,3609.5549999999944,0.4250871080139373,0.5139372822299652,-459,2858.7250000000204,0.017151689216466537,0.014165715076646213,-19,-981.7799999999975,0.00012926652995753907,-0.012200997702581207
w20gex_parity_balance_wf,tilt0.05,4563,32762.454999999973,0.44071882533421,0.532325224632917,593,4591.334999999993,0.42495784148397975,0.5261382799325464,0,119.36500000000524,-0.0002191540653078694,0.00043830813061584983,0,9.094947017729282e-13,0.0,0.0
w20gex_parity_balance_wf,tilt0.1,4563,32587.994999999974,0.44071882533421,0.5318869165023011,593,4744.134999999993,0.42495784148397975,0.5261382799325464,0,-55.09499999999389,-0.0002191540653078694,0.0,0,152.8000000000011,0.0,0.0
w20gex_parity_balance_wf,tilt0.2,4563,32742.59999999997,0.44225290379136534,0.5329826868288406,593,4675.9049999999925,0.42495784148397975,0.5261382799325464,0,99.51000000000204,0.001314924391847494,0.0010957703265395136,0,84.57000000000062,0.0,0.0
w20gex_parity_balance_wf,tilt0.5,4563,32331.419999999984,0.44225290379136534,0.534516765285996,593,4185.569999999991,0.41989881956155145,0.521079258010118,0,-311.6699999999837,0.001314924391847494,0.002629848783694877,0,-405.76500000000124,-0.005059021922428297,-0.005059021922428353
w20gex_parity_balance_wf,tilt1.0,4563,32691.28999999998,0.4415954415954416,0.534516765285996,593,4736.069999999989,0.42327150084317033,0.521079258010118,0,48.20000000001164,0.0006574621959237748,0.002629848783694877,0,144.73499999999694,-0.001686340640809414,-0.005059021922428353
avg_gex_parity_balance_chg_wf,veto0.03,4563,32731.539999999968,0.44093797939951784,0.5318869165023011,593,4585.524999999992,0.42495784148397975,0.5261382799325464,0,88.45000000000073,0.0,0.0,0,-5.809999999999491,0.0,0.0
avg_gex_parity_balance_chg_wf,veto0.05,4559,32454.719999999965,0.44066681289756526,0.5316955472691379,592,4506.494999999993,0.4239864864864865,0.5253378378378378,-4,-188.37000000000262,-0.00027116650195257996,-0.00019136923316320775,-1,-84.83999999999924,-0.0009713549974932345,-0.0008004420947085311
avg_gex_parity_balance_chg_wf,veto0.075,4557,33236.55999999997,0.4421768707482993,0.5328066710555189,591,4466.934999999992,0.42470389170896783,0.5262267343485617,-6,593.4700000000012,0.001238891348781468,0.0009197545532177998,-2,-124.39999999999964,-0.00025394977501191907,8.845441601534887e-05
avg_gex_parity_balance_chg_wf,veto0.1,4552,33745.86499999997,0.44266256590509667,0.5342706502636204,591,4409.014999999991,0.4213197969543147,0.5245346869712352,-11,1102.7750000000015,0.001724586505578829,0.0023837337613192844,-2,-182.32000000000062,-0.003638044529665041,-0.0016035929613111843
avg_gex_parity_balance_chg_wf,veto0.125,4541,33754.144999999975,0.4424135652939881,0.5342435586875137,591,4150.50499999999,0.4179357021996616,0.5211505922165821,-22,1111.0550000000076,0.001475585894470277,0.0023566421852125874,-2,-440.83000000000175,-0.007022139284318163,-0.004987687715964251
avg_gex_parity_balance_chg_wf,veto0.15,4530,34191.92999999997,0.4434878587196468,0.5350993377483444,591,3827.03999999999,0.4128595600676819,0.5177664974619289,-33,1548.8400000000038,0.002549879320128956,0.003212421246043262,-2,-764.2950000000019,-0.012098281416297874,-0.008371782470617428
avg_gex_parity_balance_chg_wf,veto0.175,4514,33257.269999999975,0.4428444838280904,0.5341160832964111,589,3618.229999999991,0.4142614601018676,0.5161290322580645,-49,614.1800000000076,0.0019065044285725419,0.0022291667941100046,-4,-973.1050000000009,-0.010696381382112152,-0.010009247674481858
avg_gex_parity_balance_chg_wf,veto0.2,4500,33318.684999999976,0.4428888888888889,0.534,588,3075.3999999999896,0.41156462585034015,0.5102040816326531,-63,675.5950000000084,0.0019509094893710444,0.0021130834976988977,-5,-1515.9350000000022,-0.013393215633639599,-0.015934198299893287
avg_gex_parity_balance_chg_wf,veto0.225,4479,34115.629999999976,0.44496539406117436,0.5351640991292699,586,2676.1699999999905,0.40955631399317405,0.5068259385665529,-84,1472.5400000000081,0.004027414661656514,0.0032771826269687443,-7,-1915.1650000000013,-0.0154015274908057,-0.01931234136599347
avg_gex_parity_balance_chg_wf,veto0.25,4465,34065.13499999997,0.44479283314669654,0.53505039193729,583,3278.929999999995,0.41680960548885077,0.5111492281303602,-98,1422.0450000000055,0.0038548537471786992,0.0031634754349888494,-10,-1312.404999999997,-0.008148235995128983,-0.014989051802186126
avg_gex_parity_balance_chg_wf,tilt0.05,4563,32392.049999999974,0.44071882533421,0.5325443786982249,593,4314.014999999992,0.42327150084317033,0.5227655986509275,0,-251.0399999999936,-0.0002191540653078694,0.0006574621959237748,0,-277.3199999999997,-0.001686340640809414,-0.003372681281618828
avg_gex_parity_balance_chg_wf,tilt0.1,4563,32592.219999999972,0.44071882533421,0.5325443786982249,593,4069.9249999999925,0.42158516020236086,0.521079258010118,0,-50.86999999999534,-0.0002191540653078694,0.0006574621959237748,0,-521.4099999999994,-0.0033726812816188834,-0.005059021922428353
avg_gex_parity_balance_chg_wf,tilt0.2,4563,32991.27999999997,0.4413762875301337,0.5334209949594565,593,4262.294999999993,0.42158516020236086,0.521079258010118,0,348.1900000000023,0.00043830813061584983,0.0015340784571553634,0,-329.03999999999905,-0.0033726812816188834,-0.005059021922428353
avg_gex_parity_balance_chg_wf,tilt0.5,4563,33959.26499999997,0.44071882533421,0.5329826868288406,593,3889.5199999999913,0.41652613827993257,0.5160202360876898,0,1316.175000000003,-0.0002191540653078694,0.0010957703265395136,0,-701.8150000000005,-0.00843170320404718,-0.010118043844856595
avg_gex_parity_balance_chg_wf,tilt1.0,4563,35793.87999999997,0.44225290379136534,0.5353933815472277,593,3338.259999999991,0.40809443507588533,0.5075885328836425,0,3150.790000000001,0.001314924391847494,0.0035064650449265766,0,-1253.0750000000007,-0.016863406408094417,-0.018549747048903886
