apply_side,score_col,rule,is_n,oot_n,d_is_n,d_oot_n,is_pnl,oot_pnl,d_is_pnl,d_oot_pnl,is_fw,oot_fw,d_is_fw,d_oot_fw,is_prof,oot_prof,d_is_prof,d_oot_prof,is_yld,oot_yld,d_is_yld,d_oot_yld,is_weekly_sh,oot_weekly_sh,d_is_weekly_sh,d_oot_weekly_sh,is_dd,oot_dd,d_is_dd,d_oot_dd,is_calmar,oot_calmar,d_is_calmar,d_oot_calmar,is_cagr,oot_cagr,d_is_cagr,d_oot_cagr,is_bp_n,oot_bp_n,is_bc_n,oot_bc_n,all_pos,score
bull_put,r_side_parity_balance_chg_wf,v0.05,4524,591,-39,-2,32760.079999999973,4646.55999999999,116.99000000000524,55.224999999998545,0.4425287356321839,0.4263959390862944,0.0015907562326660796,0.0014380976023146697,0.532051282051282,0.5262267343485617,0.00016436554898091593,8.845441601534887e-05,10.262810962647743,10.506315804944315,0.11421210773908008,0.06677997682507986,1.5369231242755026,3.2573736433313067,0.004732024487719588,0.06680692047239312,-12.879063709693494,-6.221196761564385,0.3832070252129629,0.0370309631778758,3.3107722946259424,19.749660017912397,0.11757762033315577,0.3982537652528677,42.63964731077563,122.86652094543422,0.2906350310432515,1.7610138222896126,3355,465,1169,126,True,1.1368153622993524
all,r_side_parity_balance_wf,v0.45,3675,490,-888,-103,31156.815000000017,5497.579999999996,-1486.2749999999505,906.2450000000044,0.4492517006802721,0.44285714285714284,0.00831372128075425,0.01789930137316309,0.5352380952380953,0.5469387755102041,0.003351178735794158,0.02080049557765773,11.858160456779196,14.95986949251472,1.7095616018705329,4.520333664395485,1.6361041056051553,4.938047528341962,0.10391300581737228,1.7474808054830486,-13.418052708802353,-2.6643400191037836,-0.15578197389589654,3.593887705638477,3.2115448100444444,58.12862793037097,0.01835013575165778,38.77722167771144,43.09267753785699,154.87442965048132,0.743665258124615,33.76892252733671,2827,393,848,97,False,18.005054630368306
all,r_side_parity_balance_wf,t2.00,4563,593,0,0,33792.27,6201.119999999989,1149.1800000000294,1609.7849999999971,0.44225290379136534,0.448566610455312,0.001314924391847494,0.02360876897133224,0.5312294543063774,0.5430016863406408,-0.0006574621959237748,0.016863406408094472,10.502089865620194,13.731376862203039,0.3534910107115312,3.291841034083804,1.6093259795241996,4.129996722818275,0.07713487973641664,0.9394299999593612,-14.778578399039555,-5.852096981708376,-1.5163076641330981,0.4061307430338843,2.928133746395082,29.98090175612405,-0.2650609278977045,10.629495503464522,43.273654133973125,175.45114467590892,0.9246418542407469,54.345637552764316,3407,468,1156,125,False,16.154201747122492
all,min_r_side_local_gex_wf_r_side_parity_balance_wf,v0.50,3403,501,-1160,-92,30028.28999999999,5439.034999999996,-2614.7999999999774,847.7000000000044,0.4519541580957978,0.4550898203592814,0.011016178696279966,0.030131978875301668,0.5371730825741993,0.5528942115768463,0.005286166071898135,0.026755931644299902,11.465425097492204,13.89188712882413,1.3168262425835415,3.452351300704896,1.5335310883645836,3.633745808838702,0.0013399885768006214,0.4431790859797884,-19.69230357473496,-5.768020612907831,-6.430032839828504,0.49020711183442955,2.2165421531361758,26.494810654968298,-0.9766525211566108,7.143404402308768,43.64882096575424,152.82261399294717,1.299808686021862,31.717106869802564,2674,408,729,93,False,16.036475497838797
bear_call,r_side_same_oi_pc_wf,v0.60,4191,565,-372,-28,31588.514999999978,6414.1749999999965,-1054.5749999999898,1822.8400000000047,0.44476258649486994,0.44601769911504424,0.003824607095352095,0.021059857631064494,0.5340014316392269,0.552212389380531,0.002114515136925732,0.026074109447984606,10.292256480492087,14.93383912358869,0.14365762558342432,4.4943032954694555,1.4077961829497518,3.4735286063416244,-0.12439491683803117,0.2829618834827108,-18.137160740708445,-7.617713417674688,-4.874890005801989,-1.3594856929324273,2.340746476420974,24.037808816882414,-0.8524481978718126,4.686402564222885,42.454495096094114,183.11313875586407,0.10548281636173584,62.007631632719466,3654,531,537,34,False,15.375086009789484
all,min_r_side_same_oi_pc_wf_r_veto_gex_cp_iv_wf,v0.60,2687,273,-1876,-320,21704.669999999995,4151.525000000006,-10938.419999999973,-439.80999999998585,0.4544101228135467,0.4835164835164835,0.013472143414028859,0.05855864203250377,0.5325641979903237,0.5567765567765568,0.0006772814880225964,0.030638276844010437,10.262745407700319,17.399846183184536,0.11414655279165586,6.960310355065301,1.317307258088033,4.622161425057586,-0.21488384169975006,1.4315947021986721,-29.314346827000826,-4.113656775401797,-16.052076092094367,2.144570949340464,1.3933656134377055,47.29477904490715,-1.799829060855081,27.943372792247622,40.84560284912966,194.55448825921323,-1.5034094306027157,73.44898113606862,1953,202,734,71,False,15.31801787743539
all,avg_r_side_local_gex_wf_r_side_parity_balance_wf,v0.30,4127,552,-436,-41,32006.520000000004,5937.169999999991,-636.5699999999633,1345.8349999999991,0.44245214441482916,0.4492753623188406,0.0015141650153113195,0.02431752083486083,0.5301671916646474,0.5434782608695652,-0.0017197248376537022,0.01733998093701883,11.078313675870548,14.462034774631807,0.9297148209618857,4.022498946512572,1.6320798912612537,3.9145699492414305,0.09988879147347074,0.7240032263825169,-12.924212119282307,-5.544519624283217,0.3380586156241492,0.7137081004590433,3.304542146964451,29.959571367239324,0.11134747267166434,10.608165114579794,42.70860366447713,166.11143138077202,0.3595913847447534,45.00592425762741,3152,453,975,99,False,15.095544194663995
all,avg_r_side_local_gex_wf_r_side_parity_balance_wf,t3.00,4563,593,0,0,32504.709999999992,6050.619999999995,-138.37999999997555,1459.2850000000035,0.4400613631382862,0.4536256323777403,-0.0008766162612316442,0.028667790893760536,0.5292570677186061,0.5413153456998314,-0.002629848783694988,0.015177065767285058,10.299396511133459,13.8037629993028,0.15079765622479613,3.3642271711835647,1.5631961184517253,4.321019617621724,0.03100501866394234,1.1304528947628105,-15.973872831597568,-4.734633008781142,-2.711602096691111,1.523594715961119,2.6440928714865692,35.92783512263335,-0.5491018028062173,16.576428869973817,42.23640328406011,170.1051141056663,-0.11260899567226801,48.9996069825217,3417,481,1146,112,False,15.070995719058308
bear_call,r_side_local_dex_wf,v0.80,4000,553,-563,-40,32940.71999999997,6034.309999999998,297.63000000000466,1442.9750000000058,0.4435,0.44665461121157324,0.002562020600482162,0.02169676972759349,0.53525,0.5443037974683544,0.003363083497698871,0.018165517535808084,11.198757243889007,14.407378376242459,1.0501583889803445,3.9678425481232242,1.4280368170532771,3.1204937603232605,-0.10415428273450589,-0.0700729625356531,-20.03468026071721,-11.225721926830301,-6.772409525810753,-4.967494202088041,2.2016077709808095,15.101839350631135,-0.9915869033119771,-4.249566902028395,44.108507751110835,169.52904913384862,1.7594954713784574,48.42354201070401,3735,542,265,11,False,14.769914170532234
bear_call,r_side_local_gex_wf,v0.80,4098,554,-465,-39,32811.68999999997,6024.019999999998,168.60000000000582,1432.6850000000059,0.44363103953147875,0.44765342960288806,0.0026930601319609115,0.022695588118908316,0.5336749633967789,0.5451263537906137,0.0017880468944777572,0.018988073858067334,11.055397458299264,14.39690687402222,0.9067986033906017,3.9573710459029847,1.431918580503268,3.1057560090102387,-0.10027251928451508,-0.08481071384867489,-19.176003149944577,-11.302538338219891,-5.913732415038121,-5.044310613477631,2.270259815515905,14.967075126617566,-0.9229348587768818,-4.384331126041964,43.53450937352559,169.16594042961236,1.1854970937932094,48.06043330646776,3720,542,378,12,False,14.603034842347826
all,r_side_parity_balance_wf,v0.40,3784,506,-779,-87,30883.680000000008,5489.0499999999965,-1759.4099999999598,897.7150000000047,0.4487315010570824,0.4407114624505929,0.007793521657564584,0.015753620966613147,0.5340909090909091,0.541501976284585,0.002203992588607928,0.015363696352038603,11.422380745581032,14.384461254552582,1.2737818906723692,3.944925426433347,1.5989696761734795,4.760829415963517,0.06677857638569651,1.5702626931046035,-12.879063709693494,-3.7275466953950454,0.3832070252129629,2.5306810293472153,3.3035418746597536,41.46827500568487,0.11034720036696699,22.116868753025344,42.54652627138324,154.5749314611736,0.19751399165086525,33.469424338029,2900,408,884,98,False,14.469326803165881
