stack,rule,full_win_IS,full_win_OOT,n_IS,n_OOT,pnl_IS,pnl_OOT,profitable_IS,profitable_OOT,d_pnl_IS,d_pnl_OOT,d_fw_IS,d_fw_OOT,d_prof_IS,d_prof_OOT
stack_weighted_core,tilt0.1,0.43959657969743476,0.42495784148397975,4561.0,593.0,31476.629999999972,4359.639999999992,0.531462398596799,0.5261382799325464,-979.559999999994,-231.6949999999997,-0.0010962508221881162,0.0,-0.00021925016443757883,0.0
stack_weighted_core,tilt0.15,0.4409120806840605,0.4266441821247892,4561.0,593.0,32296.68499999997,4105.444999999992,0.5325586494189871,0.524451939291737,-159.50499999999738,-485.8899999999994,0.00021925016443763434,0.0016863406408094694,0.0008770006577505374,-0.001686340640809414
stack_weighted_core,tilt0.2,0.44047358035518525,0.42327150084317033,4561.0,593.0,31247.454999999973,3950.0199999999913,0.5316816487612366,0.5227655986509275,-1208.7349999999933,-641.3150000000005,-0.00021925016443763434,-0.001686340640809414,0.0,-0.003372681281618828
stack_weighted_core,tilt0.3,0.4406928305196229,0.42327150084317033,4561.0,593.0,30995.384999999973,4018.8549999999914,0.5316816487612366,0.521079258010118,-1460.804999999993,-572.4800000000005,0.0,-0.001686340640809414,0.0,-0.005059021922428353
stack_weighted_core,tilt0.4,0.43937732953299713,0.4300168634064081,4561.0,593.0,30488.539999999964,4643.254999999993,0.5312431484323613,0.5278246205733558,-1967.6500000000015,51.92000000000098,-0.0013155009866257505,0.005059021922428353,-0.0004385003288752687,0.001686340640809414
stack_weighted_core,tilt0.5,0.4406928305196229,0.42158516020236086,4561.0,593.0,32118.664999999968,4106.49499999999,0.5334356500767375,0.521079258010118,-337.5249999999978,-484.84000000000196,0.0,-0.0033726812816188834,0.0017540013155009637,-0.005059021922428353
stack_weighted_core,veto0.02,0.4479607755738801,0.41765704584040747,4487.0,589.0,32943.91499999997,3018.3299999999904,0.5355471361711611,0.5161290322580645,487.7250000000058,-1573.0050000000015,0.007267945054257208,-0.007300795643572278,0.0038654874099245395,-0.010009247674481858
stack_weighted_core,veto0.05,0.44647340789774026,0.43567753001715265,4381.0,583.0,30482.72999999998,3258.619999999992,0.5313855284181693,0.5180102915951973,-1973.4599999999846,-1332.7149999999997,0.00578057737811738,0.0107196885331729,-0.0002961203430672521,-0.008127988337349068
stack_weighted_core,veto0.075,0.4527687296416938,0.43782837127845886,4298.0,571.0,31300.26499999998,2696.3549999999923,0.5369939506747324,0.5148861646234676,-1155.9249999999847,-1894.9799999999996,0.01207589912207091,0.012870529794479113,0.005312301913495854,-0.01125211530907877
stack_weighted_core,veto0.1,0.4557774607703281,0.4422735346358792,4206.0,563.0,30903.23,2624.554999999992,0.5373276271992392,0.5168738898756661,-1552.9599999999664,-1966.7799999999997,0.015084630250705222,0.01731569315189946,0.00564597843800263,-0.00926439005688029
stack_weighted_core,veto0.125,0.4613333333333333,0.44064748201438847,4125.0,556.0,31413.26999999999,2514.3999999999924,0.5413333333333333,0.5161870503597122,-1042.9199999999764,-2076.9349999999995,0.020640502813710437,0.01568964053040872,0.009651684572096753,-0.00995122957283412
stack_weighted_core,veto0.15,0.4593726846134848,0.43399638336347196,4049.0,553.0,29220.234999999993,1820.809999999993,0.5393924425784145,0.5063291139240507,-3235.9549999999726,-2770.5249999999987,0.018679854093861914,0.009038541879492212,0.0077107938171778745,-0.019809166008495693
stack_weighted_core,veto0.175,0.45940494200706,0.4340659340659341,3966.0,546.0,29112.01499999999,1879.024999999992,0.5393343419062028,0.5073260073260073,-3344.1749999999774,-2712.31,0.018712111487437122,0.00910809258195433,0.007652693144966194,-0.01881227260653906
stack_weighted_core,veto0.2,0.45704732510288065,0.41682242990654206,3888.0,535.0,28837.565000000002,533.8249999999944,0.5375514403292181,0.491588785046729,-3618.6249999999636,-4057.5099999999975,0.016354494583257773,-0.00813541157743769,0.005869791567981508,-0.03454949488581738
stack_weighted_core,veto0.25,0.46195069667738475,0.4070450097847358,3732.0,511.0,31632.629999999997,-22.800000000004957,0.5418006430868167,0.48532289628180036,-823.5599999999686,-4614.134999999997,0.021257866157761873,-0.01791283169924396,0.010118994325580166,-0.040815383650745996
stack_weighted_core,veto0.3,0.46140797285835455,0.40329218106995884,3537.0,486.0,29130.02000000001,366.169999999998,0.5383093016680803,0.48559670781893005,-3326.1699999999546,-4225.164999999994,0.020715142338731674,-0.021665660414020904,0.006627652906843751,-0.04054157211361631
stack_weighted_core,veto0.35,0.4605341246290801,0.4004237288135593,3370.0,472.0,27217.99500000002,76.16500000000224,0.5373887240356083,0.4851694915254237,-5238.194999999945,-4515.169999999989,0.01984129410945723,-0.024534112670420438,0.0057070752743717534,-0.04096878840712265
stack_weighted_core,veto0.4,0.46296296296296297,0.4009009009009009,3186.0,444.0,26637.87500000001,-82.83500000000072,0.53954802259887,0.4864864864864865,-5818.314999999955,-4674.169999999993,0.022270132443340085,-0.024056940583078834,0.007866373837633445,-0.039651793446059846
stack_weighted_core,veto0.5,0.46382521489971346,0.4046997389033943,2792.0,383.0,22635.61500000001,111.09999999999809,0.5419054441260746,0.4856396866840731,-9820.574999999957,-4480.234999999993,0.023132384380090576,-0.02025810258058547,0.010223795364837973,-0.04049859324847327
veto_gex_cp_iv,tilt0.01,0.4406928305196229,0.42495784148397975,4561.0,593.0,32589.10999999997,4591.334999999992,0.5319008989256742,0.5261382799325464,132.92000000000553,0.0,0.0,0.0,0.00021925016443757883,0.0
veto_gex_cp_iv,tilt0.02,0.44003508002631003,0.42495784148397975,4561.0,593.0,31893.364999999972,4591.334999999992,0.531462398596799,0.5261382799325464,-562.8249999999935,0.0,-0.0006577504933128475,0.0,-0.00021925016443757883,0.0
veto_gex_cp_iv,tilt0.03,0.4398158298618724,0.42495784148397975,4561.0,593.0,31578.97499999997,4591.334999999992,0.5312431484323613,0.5261382799325464,-877.2149999999965,0.0,-0.0008770006577504819,0.0,-0.0004385003288752687,0.0
veto_gex_cp_iv,tilt0.05,0.43915807936855955,0.42495784148397975,4561.0,593.0,30999.644999999968,4524.584999999992,0.5301468976101732,0.524451939291737,-1456.5449999999983,-66.75,-0.0015347511510633294,0.0,-0.0015347511510633849,-0.001686340640809414
veto_gex_cp_iv,tilt0.075,0.4398158298618724,0.42495784148397975,4561.0,593.0,31284.279999999977,4608.284999999993,0.530804648103486,0.524451939291737,-1171.909999999989,16.950000000000728,-0.0008770006577504819,0.0,-0.0008770006577505374,-0.001686340640809414
veto_gex_cp_iv,tilt0.1,0.44047358035518525,0.42495784148397975,4561.0,593.0,31614.949999999975,4608.284999999993,0.531462398596799,0.524451939291737,-841.2399999999907,16.950000000000728,-0.00021925016443763434,0.0,-0.00021925016443757883,-0.001686340640809414
