bull_cut,bear_cut,is_n,oot_n,d_is_n,d_oot_n,is_pnl,oot_pnl,d_is_pnl,d_oot_pnl,is_fw,oot_fw,d_is_fw,d_oot_fw,is_prof,oot_prof,d_is_prof,d_oot_prof,is_yld,oot_yld,d_is_yld,d_oot_yld,is_weekly_sh,oot_weekly_sh,d_is_weekly_sh,d_oot_weekly_sh,is_dd,oot_dd,d_is_dd,d_oot_dd,is_calmar,oot_calmar,d_is_calmar,d_oot_calmar,is_cagr,oot_cagr,d_is_cagr,d_oot_cagr,is_bp_n,oot_bp_n,is_bc_n,oot_bc_n,all_pos,score
0.4,0.05,4210,565,-353,-28,31951.544999999995,5998.739999999991,-691.5449999999728,1407.4049999999988,0.44109263657957243,0.45132743362831856,0.00015465718005458484,0.026369592144338816,0.5313539192399049,0.5469026548672566,-0.0005329972623961954,0.020764374934710284,10.841900197652365,14.167518864471004,0.6933013427437018,3.7279830363517696,1.6157188119668022,4.373157823370058,0.08352771217901922,1.1825911005111447,-12.879063709693494,-7.150711180843128,0.3832070252129629,-0.8924834561008677,3.3086658345160957,23.53261879284086,0.11547116022330917,4.181212540181331,42.612518076818986,168.27496031648627,0.2635057970866086,47.16945319334167,3068,440,1142,125,False,15.353490008915982
0.35,0.08,4264,569,-299,-24,32449.624999999996,6036.034999999992,-193.46499999997104,1444.6999999999998,0.4432457786116323,0.4428822495606327,0.0023077992121144364,0.017924408076652965,0.5321294559099438,0.546572934973638,0.00024253940764262794,0.020434655041091654,10.706055177237573,14.339030586428724,0.5574563223289104,3.8994947583094888,1.5888704157563611,4.106843449017269,0.056679315968578114,0.9162767261583555,-14.156270355780286,-7.538697152701046,-0.8939996208738297,-1.280469427958785,3.036080502467809,22.495922277639814,-0.15711417182497778,3.144516024980284,42.97957641484756,169.5899452218273,0.6305641351151792,48.48443809868269,3197,454,1067,115,False,14.389373118050035
0.4,0.04,4224,566,-339,-27,31979.079999999987,5951.529999999992,-664.0099999999802,1360.1949999999997,0.44105113636363635,0.44876325088339225,0.0001131569641185104,0.023805409399412503,0.53125,0.5441696113074205,-0.0006369165023011325,0.018031331374874116,10.84548995232086,14.019298315454865,0.6968910974121965,3.57976248733563,1.6134331508672166,4.3653583784049905,0.08124205107943361,1.174791655546077,-12.879063709693494,-7.1936605482331935,0.3832070252129629,-0.9354328234909328,3.306605534815541,23.16139476269539,0.1134108605227544,3.8099885100358613,42.58598334571448,166.61521174645674,0.23697106598210382,45.50970462331213,3056,437,1168,129,False,14.308392019864788
0.35,0.07,4273,569,-290,-24,32360.40499999999,6036.034999999992,-282.68499999997584,1444.6999999999998,0.44324830329978937,0.4428822495606327,0.002310323900271527,0.017924408076652965,0.5321787970980576,0.546572934973638,0.0002918805957564663,0.020434655041091654,10.674586851488202,14.339030586428724,0.5259879965795395,3.8994947583094888,1.5894716577277483,4.106843449017269,0.05728055793996534,0.9162767261583555,-13.66212765077497,-7.538697152701046,-0.39985691586851324,-1.280469427958785,3.1367874688670265,22.495922277639814,-0.056407205425760054,3.144516024980284,42.855190813012634,169.5899452218273,0.5061785332802557,48.48443809868269,3194,454,1079,115,False,14.27976043903481
0.4,0.08,4173,561,-390,-32,31430.549999999996,5923.20999999999,-1212.5399999999718,1331.8749999999982,0.44069015097052483,0.45098039215686275,-0.00024782842899301327,0.026022550672883005,0.5305535585909418,0.5454545454545454,-0.0013333579113593563,0.019316265521999054,10.692944790567049,14.142024054675117,0.5443459356583862,3.7024882265558823,1.5884712426453471,4.208189151523168,0.05628014285756411,1.0176224286642546,-14.24064876938569,-6.248084637676444,-0.978378034479233,0.010143087065817014,2.9717722700961584,26.507669455646447,-0.22142240419662818,7.156263202986917,42.319965121039374,165.62216230642966,-0.029047158693003894,44.51665518328505,3083,442,1090,119,False,14.071923983517593
0.4,0.07,4182,561,-381,-32,31341.329999999994,5923.20999999999,-1301.759999999973,1331.8749999999982,0.44069823051171686,0.45098039215686275,-0.00023974888780098347,0.026022550672883005,0.5306073648971784,0.5454545454545454,-0.0012795516051227196,0.019316265521999054,10.660498715335164,14.142024054675117,0.5118998604265013,3.7024882265558823,1.5894501664645362,4.208189151523168,0.05725906667675318,1.0176224286642546,-13.735204284517721,-6.248084637676444,-0.4729335496112643,0.010143087065817014,3.0684126959007574,26.507669455646447,-0.1247819783920292,7.156263202986917,42.14527520740465,165.62216230642966,-0.2037370723277263,44.51665518328505,3080,442,1102,119,False,13.963065392257196
0.35,0.09,4247,568,-316,-25,32124.42,5934.134999999992,-518.6699999999691,1342.8000000000002,0.4424299505533318,0.44190140845070425,0.0014919711538139424,0.0169435669667245,0.5314339533788557,0.545774647887324,-0.000452963123445449,0.019636367954777634,10.636595422761063,14.112314247976288,0.48799656785240053,3.6727784198570532,1.5726895367127096,4.102065742129058,0.040498436924926606,0.9114990192701447,-14.841206515978389,-7.6009948822846845,-1.578935781071932,-1.3427671575424238,2.877657393546083,21.839906929003018,-0.3155372807467036,2.488500676343488,42.70790765984951,166.00502079692575,0.35889538011713285,44.89951367378114,3201,455,1046,113,False,12.9937987209253
0.35,0.18,4141,559,-422,-34,31194.664999999997,6043.199999999992,-1448.4249999999702,1451.8649999999998,0.44023182806085487,0.44543828264758495,-0.0007061513386629747,0.0204804411636052,0.5281333011349916,0.5491949910554562,-0.0037536153673095596,0.023056711122909856,10.472249650370143,14.539781696360777,0.32365079546148046,4.100245868241542,1.5234240562642183,4.1059483185828345,-0.008767043523564721,0.9153815957239209,-14.33930508513621,-6.864769378767555,-1.077034350229754,-0.6065416540252944,2.9441464313739707,25.07052071006567,-0.2490482429188159,5.719114457406139,42.217013894786405,172.10334288021662,-0.13199838494597316,50.99783575707201,3247,461,894,98,False,12.944487067176249
0.35,0.1,4230,567,-333,-26,31984.945,5924.199999999992,-658.1449999999677,1332.8649999999998,0.442789598108747,0.4426807760141093,0.0018516187092291747,0.017722934530129575,0.5312056737588653,0.544973544973545,-0.0006812427434358392,0.01883526504099864,10.608948382244533,14.105973621005457,0.46034952733587,3.6664377928862226,1.5583046849062474,4.093759540027161,0.0261135851184644,0.9031928171682475,-15.30988480809442,-7.6009948822846845,-2.0476140731879635,-1.3427671575424238,2.7819222755982764,21.79410021758643,-0.41127239869451016,2.4426939649268995,42.59090958448151,165.65684421787398,0.24189730474913063,44.55133709472938,3208,455,1022,112,False,12.895562678448487
0.4,0.09,4154,560,-409,-33,31211.085,5821.30999999999,-1432.0049999999683,1229.9749999999985,0.44005777563793935,0.45,-0.0008802037615784908,0.025042158516020263,0.530091478093404,0.5446428571428571,-0.0017954384088971764,0.018504577210310735,10.661125283132531,13.913946548528289,0.5125264282238682,3.474410720409054,1.577155258439582,4.192556126794253,0.044964158651799035,1.0019894039353394,-14.733914132956361,-6.30199703032236,-1.4716433980499044,-0.04376930558009917,2.8595536249429894,25.71646105911388,-0.3336410493497972,6.365054806454349,42.132417568494105,162.06506122493627,-0.21659471123827245,40.95955410179167,3085,443,1069,117,False,12.866711230105027
