ticker,spread_type,expiry_date,DTE,short_strike,long_strike,p,ro,q,w_star,G,EV,DKL,GROUND,mid_credit,cross_bidask_credit,ba_halfspread_cost,ba_halfspread_pct,short_bid,short_ask,long_bid,long_ask
TSLA,bull_put,2026-05-15,3,435.0,432.5,0.49,0.038,0.472,0.1038,0.006799,0.126889,0.270438,0.005206,1.375,1.200000000000001,0.17499999999999893,12.72727272727265,10.05,10.3,8.75,8.85
VZ,bear_call,2026-05-15,3,48.0,48.5,0.5091,0.1589,0.332,0.1259,0.005703,0.089907,0.09655,0.005193,0.23,0.08000000000000002,0.15,65.21739130434781,0.39,0.6,0.22,0.31
AVGO,bear_call,2026-05-18,6,420.0,422.5,0.4958,0.0415,0.4627,0.1016,0.006292,0.119326,0.26212,0.004856,1.35,-0.7999999999999989,2.149999999999999,159.25925925925918,8.9,10.3,6.8,9.7
HON,bear_call,2026-05-15,3,217.5,220.0,0.4126,0.194,0.3934,0.0775,0.004192,0.090957,0.048193,0.004003,1.35,0.7500000000000002,0.5999999999999999,44.44444444444443,2.45,2.95,1.0,1.7
RTX,bull_put,2026-05-15,3,180.0,177.5,0.427,0.187,0.386,0.0792,0.004119,0.087844,0.054274,0.003909,1.315,0.2899999999999998,1.0250000000000001,77.94676806083652,2.01,3.45,1.11,1.72
AVGO,bear_call,2026-05-20,8,420.0,425.0,0.49,0.0656,0.4444,0.0879,0.004545,0.097179,0.209943,0.003693,2.625,0.25,2.375,90.47619047619048,11.15,13.5,8.5,10.9
NEE,bull_put,2026-05-15,3,95.0,94.0,0.432,0.189,0.379,0.0751,0.003557,0.079722,0.053433,0.003378,0.515,0.09999999999999998,0.41500000000000004,80.58252427184468,0.85,1.27,0.34,0.75
COST,bear_call,2026-05-15,3,1020.0,1025.0,0.4588,0.0857,0.4555,0.0785,0.003992,0.094052,0.172399,0.003367,2.725,1.0500000000000007,1.6749999999999994,61.46788990825686,9.65,11.45,7.05,8.6
DIS,bear_call,2026-05-15,3,106.0,107.0,0.4688,0.1384,0.3928,0.076,0.003292,0.076,0.102705,0.002976,0.5,0.31999999999999995,0.18000000000000005,36.00000000000001,1.17,1.37,0.69,0.85
CRM,bull_put,2026-05-15,3,172.5,170.0,0.449,0.132,0.419,0.0714,0.003198,0.079257,0.107308,0.002877,1.315,1.0500000000000003,0.2649999999999997,20.152091254752825,3.45,3.8,2.22,2.4
TSLA,bull_put,2026-05-20,8,430.0,425.0,0.56,0.061,0.379,0.096,0.003558,0.073636,0.235591,0.002816,2.25,2.049999999999999,0.20000000000000107,8.888888888888937,10.95,11.15,8.7,8.9
AXP,bear_call,2026-05-15,3,315.0,317.5,0.5199,0.1114,0.3687,0.0917,0.003222,0.069888,0.146176,0.002788,1.155,0.18000000000000016,0.9749999999999999,84.4155844155844,2.87,3.85,1.72,2.69
